Company,Budget,Director,Profit,Star,Month,Writer,Gross
Lorimar Film Entertainment,6200000,Ken Wiederhorn,3005924,James Karen,1,Ken Wiederhorn,9205924
Universal Pictures,22000000,Michael Apted,2720479,Sigourney Weaver,10,Harold T.P. Hayes,24720479
Magellan Pictures,2000000,Robert Bierman,-1274869,Nicolas Cage,6,Joseph Minion,725131
White Lair,2500000,Ken Russell,-1310685,Amanda Donohoe,10,Ken Russell,1189315
Universal Pictures,7000000,Wes Craven,12595031,Bill Pullman,2,Wade Davis,19595031
Columbia Pictures Corporation,5000000,Ken Annakin,-1430061,Tami Erin,7,Astrid Lindgren,3569939
Orion Pictures,6000000,John Sayles,-319485,John Cusack,9,Eliot Asinof,5680515
New Sky Communications Inc.,4700000,Frank LaLoggia,-2994861,Lukas Haas,4,Frank LaLoggia,1705139
Laurenfilm,700000,Pedro Almodóvar,6479298,Carmen Maura,11,Pedro Almodóvar,7179298
Spacegate Productions,3000000,Don Coscarelli,4282851,James Le Gros,7,Don Coscarelli,7282851
United Artists,25000000,James Bridges,-8881923,Michael J. Fox,4,Jay McInerney,16118077
Orion Pictures,7000000,George A. Romero,-1655423,Jason Beghe,7,Michael Stewart,5344577
Cornelius Productions,19000000,George Roy Hill,6537221,Chevy Chase,6,Jay Cronley,25537221
American Entertainment Partners II L.P.,16000000,Graham Baker,9216243,James Caan,10,Rockne S. O'Bannon,25216243
Lorimar Film Entertainment,7000000,Craig R. Baxley,13257000,Carl Weathers,2,Robert Reneau,20257000
Esparza,22000000,Robert Redford,-8174206,Rubén Blades,3,John Nichols,13825794
Lucasfilm,23000000,Francis Ford Coppola,-3347362,Jeff Bridges,8,Arnold Schulman,19652638
Columbia Pictures Corporation,6500000,Spike Lee,8045844,Laurence Fishburne,2,Spike Lee,14545844
Hemdale,3700000,Steve De Jarnatt,-2554596,Anthony Edwards,5,Steve De Jarnatt,1145404
Zanuck/Brown Productions,17500000,Daniel Petrie,1424919,Don Ameche,11,David Saperstein,18924919
Producers Representative Organization,4000000,Martin Donovan,-3329226,Hart Bochner,9,Martin Donovan,670774
Jack Rollins & Charles H. Joffe Productions,10000000,Woody Allen,-8437251,Gena Rowlands,11,Woody Allen,1562749
Malpaso Company The,9000000,Clint Eastwood,-6818714,Forest Whitaker,9,Joel Oliansky,2181286
Cannon Entertainment,15000000,Fred Schepisi,-8091203,Meryl Streep,11,John Bryson,6908797
Rastar Pictures,20000000,Mike Nichols,23184798,Matthew Broderick,3,Neil Simon,43184798
Cineplex-Odeon Films,4000000,Oliver Stone,-531428,Eric Bogosian,1,Stephen Singular,3468572
Guber-Peters Company The,20000000,Allan Arkush,-8201698,Jackie Mason,7,Brian Doyle-Murray,11798302
Imagine Entertainment,18000000,Ken Kwapis,-16116189,Cyndi Lauper,8,Deborah Blum,1883811
United Artists,19000000,Costa-Gavras,6816139,Debra Winger,8,Joe Eszterhas,25816139
Abramoff Production,16000000,Joseph Zito,-11807560,Dolph Lundgren,4,Robert Abramoff,4192440
Aspen Film Society,6000000,Paul Golding,-5959603,Cliff De Young,3,Paul Golding,40397
Weintraub Entertainment Group,14000000,David Anspaugh,-7359654,Molly Ringwald,11,Larry Ketron,6640346
Helpern / Meltzer,5000000,Mark Goldblatt,-1411374,Treat Williams,6,Terry Black,3588626
Miracle Pictures,210000,Jim Wynorski,-102648,Traci Lords,5,R.J. Robertson,107352
Columbia Pictures Corporation,15000000,Richard Benjamin,-13266930,Sidney Poitier,3,John Hill,1733070
Columbia Pictures Corporation,15000000,David Seltzer,6032267,Sally Field,10,David Seltzer,21032267
Hemdale,8000000,Harold Becker,-7215010,James Woods,12,Ben Stein,784990
