No Frills Film Production,USA,Andrew Fleming,Horror,R,Jennifer Rubin,Andrew Fleming
Silver Screen Partners III,USA,Chris Columbus,Comedy,PG-13,David Keith,Chris Columbus
TriStar Pictures,USA,Ted Kotcheff,Comedy,PG,Kathleen Turner,Ben Hecht
Orion Pictures,USA,Peter Yates,Thriller,PG,Kelly McGillis,Walter Bernstein
Crescent Moon,USA,Peter Bogdanovich,Comedy,PG,Rob Lowe,Michael Kaplan
Cinetel Films,USA,Steve Carver,Action,R,Gary Busey,T.L. Lankford
Metro-Goldwyn-Mayer (MGM),USA,Henry Winkler,Comedy,PG-13,Billy Crystal,Eric Roth
Cinetel Films,USA,Michael Schroeder,Comedy,R,Cameron Dye,J. Greg De Felice
Smart Egg Pictures,UK,Armand Mastroianni,Horror,R,Cotter Smith,Gary Brandner
Touchstone Pictures,USA,Peter Weir,Comedy,PG,Robin Williams,Tom Schulman
Warner Bros.,USA,Tim Burton,Action,PG-13,Michael Keaton,Bob Kane
Paramount Pictures,USA,Mary Lambert,Horror,R,Dale Midkiff,Stephen King
Paramount Pictures,USA,Steven Spielberg,Action,PG-13,Harrison Ford,Jeffrey Boam
Walt Disney Pictures,USA,Ron Clements,Animation,G,Jodi Benson,John Musker
Warner Bros.,USA,Andrey Konchalovskiy,Action,R,Sylvester Stallone,Randy Feldman
Silver Pictures,USA,Rowdy Herrington,Action,R,Patrick Swayze,R. Lance Hill
Warner Bros.,USA,Jeremiah S. Chechik,Comedy,PG-13,Chevy Chase,John Hughes
